Name_of_meal,MealIngredients,Snack (all types),Breakfast,Lunch,Dinner,Carbs,Protein,Calories,Meal Name,Dairy Free,Gluten Free,Pescatarian,Vegan,Vegetarian,Paleo,Meal Name.1,Soy,Milk,Dairy,Wheat,Shellfish,Peanuts,Treenuts,Eggs,Fish,Nuts,Meal Name.2,Milk.1,Butter,Cheese,Yogurt,Ice Cream,Whey,Apples,Oranges,Bananas,Cherries,Dates,Watermelons,Bread,Cereal,Rice,Pasta,Wheat.1,Oats,Sweet Potatoes,Beets,Spinach,Broccoli,Cauliflower,Brussel sprout,Beef,Chicken,Fish.1,Eggs.1,Cheese.1,Beans,Fat
"Banana-Almond Butter Smoothie (1/2 cup of 1% milk, 1/2 of a banana)",,Yes,Yes,,,23,11,265,"Banana-Almond Butter Smoothie (1/2 cup of 1% milk, 1/2 of a banana)",2,0,0,2,0,2,"Banana-Almond Butter Smoothie (1/2 cup of 1% milk, 1/2 of a banana)",0,2,2,0,0,0,1,0,0,1,"Pork tenderloin (8 oz), Orzo (2 oz), 1/2 cup of sweet potatoes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.8
1 cup of plain Greek yogurt with 10 raspberries,,Yes,Yes,,,14,14,271,1 cup of plain Greek yogurt with 10 raspberries,2,0,0,1,0,1,1 cup of plain Greek yogurt with 10 raspberries,0,1,2,0,0,0,0,0,0,0,"tuna (4 oz), 2 cups of brown rice, 1/2 cup of carrots",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.5
1/4 cup of raisins and cottage cheese,,Yes,Yes,,,35,29,271,1/4 cup of raisins and cottage cheese,2,0,0,1,0,1,1/4 cup of raisins and cottage cheese,0,3,2,0,0,0,0,0,0,0,"White Fish (8 oz), Orzo (2 oz), 1/2 cup of peppers",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.5
"1 cup of chocolate milk, 1 apple",,Yes,Yes,,,52,9,295,"1 cup of chocolate milk, 1 apple",2,0,0,0,0,1,"1 cup of chocolate milk, 1 apple",0,2,2,0,0,0,0,0,0,0,"2 cups of tofu, Orzo (2 oz), 1 cup of cabbage",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7
"1 cup of chocolate milk, 1 banana",,Yes,Yes,,,54,9,295,"1 cup of chocolate milk, 1 banana",2,0,0,0,0,1,"1 cup of chocolate milk, 1 banana",0,2,2,0,0,0,0,0,0,0,"tuna (4 oz), 1 cup of beans, 2 cups of sweet potatoes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,4.8
"1 cup of chocolate milk (2%), 1/4 cup of raisins (a handful)",,Yes,Yes,,,56,9,298,"1 cup of chocolate milk (2%), 1/4 cup of raisins (a handful)",2,0,0,0,0,1,"1 cup of chocolate milk (2%), 1/4 cup of raisins (a handful)",0,2,2,0,0,0,0,0,0,0,"Pork tenderloin (4 oz), 2 cups of white rice, 1 cup of cauliflower",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.2
"1 cup of plain Greek yogurt, 1 banana, 1 apple",,Yes,Yes,,,58,19,300,"1 cup of plain Greek yogurt, 1 banana, 1 apple",2,0,0,1,0,1,"1 cup of plain Greek yogurt, 1 banana, 1 apple",0,1,2,0,0,0,0,0,0,0,"2 cups of tofu, 1 cup of white rice, 1 cup of cauliflower",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.7
"Peanut Butter Banana Smoothie (3/4 cup of 1% milk, 1/2 of a banana, 2 tbsp of peanut butter)",,Yes,Yes,,,27,13,305,"Peanut Butter Banana Smoothie (3/4 cup of 1% milk, 1/2 of a banana, 2 tbsp of peanut butter)",2,0,0,2,0,3,"Peanut Butter Banana Smoothie (3/4 cup of 1% milk, 1/2 of a banana, 2 tbsp of peanut butter)",0,2,2,0,0,1,0,0,0,1,"Grilled Chicken (8 oz), 1 cup of beans, 2 cups of corn",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13.6
"Peanut Butter Banana Oatmeal (1/2 cup of plain oatmeal, 1 tbsp of peanut butter, 1/2 of a banana, 1/6 cup of milk)",,Yes,Yes,,,47,11,310,"Peanut Butter Banana Oatmeal (1/2 cup of plain oatmeal, 1 tbsp of peanut butter, 1/2 of a banana, 1/6 cup of milk)",2,0,0,2,0,3,"Peanut Butter Banana Oatmeal (1/2 cup of plain oatmeal, 1 tbsp of peanut butter, 1/2 of a banana, 1/6 cup of milk)",0,2,2,0,0,1,0,0,0,1,"Salmon (4 oz), 1 cup of beans, 2 cups of sweet potatoes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,13.8
"1 Clif Bar - Blueberry Crisp (or a similar bar), 1 cup of plain Greek yogurt",,Yes,Yes,,,52,21,330,"1 Clif Bar - Blueberry Crisp (or a similar bar), 1 cup of plain Greek yogurt",2,0,0,1,0,1,"1 Clif Bar - Blueberry Crisp (or a similar bar), 1 cup of plain Greek yogurt",0,1,2,0,0,0,0,0,0,0,"Salmon (4 oz), Orzo (2 oz), 2 cups of peas",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8
"1 cup of plain Greek yogurt with 10 raspberries and honey, 1 peach",,Yes,Yes,,,29,15,331,"1 cup of plain Greek yogurt with 10 raspberries and honey, 1 peach",2,0,0,2,0,1,"1 cup of plain Greek yogurt with 10 raspberries and honey, 1 peach",0,1,2,0,0,0,0,0,0,0,"Pork tenderloin (8 oz), 1 cup of beans, brussels sprouts (~12 sprouts)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.8
"1 cup of plain Greek yogurt with 10 raspberries and honey, 2 peaches",,Yes,Yes,,,29,15,331,"1 cup of plain Greek yogurt with 10 raspberries and honey, 2 peaches",2,0,0,2,0,1,"1 cup of plain Greek yogurt with 10 raspberries and honey, 2 peaches",0,1,2,0,0,0,0,0,0,0,"Pork tenderloin (4 oz), 2 cups of white rice, 1 cup of eggplant",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.8
"Yogurt Parfait (Vanilla Greek yogurt, 2 oz granola, blueberries, raspberries)",,Yes,Yes,,,58,24,340,"Yogurt Parfait (Vanilla Greek yogurt, 2 oz granola, blueberries, raspberries)",2,0,0,1,0,1,"Yogurt Parfait (Vanilla Greek yogurt, 2 oz granola, blueberries, raspberries)",0,1,2,0,0,0,1,0,0,1,"Salmon (4 oz), 2 cups of pasta, 1 cup of cabbage",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1.9
"1 cup of cottage cheese, 1 Kashi Bar - Fruit and Grain (or a similar bar)",,Yes,Yes,,,30,29,342,"1 cup of cottage cheese, 1 Kashi Bar - Fruit and Grain (or a similar bar)",2,0,0,0,0,1,"1 cup of cottage cheese, 1 Kashi Bar - Fruit and Grain (or a similar bar)",0,2,2,0,0,0,0,0,0,0,"grilled chicken (4 oz), 2 cups of pasta, 1/2 cup of sweet potatoes",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,9.5
"1 cup of plain Greek yogurt, 1 cup of plain granola with raisins",,Yes,Yes,,,47,22,345,"1 cup of plain Greek yogurt, 1 cup of plain granola with raisins",2,0,0,1,0,1,"1 cup of plain Greek yogurt, 1 cup of plain granola with raisins",0,1,2,0,0,0,1,0,0,1,"Salmon (8 oz), 1 cup of beans, 1/2 cup of corn",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.9
"1/2 of a banana, 1 cup of plain Greek yogurt and 1 tsp of honey",,Yes,Yes,,,60,20,345,"1/2 of a banana, 1 cup of plain Greek yogurt and 1 tsp of honey",2,0,0,2,0,1,"1/2 of a banana, 1 cup of plain Greek yogurt and 1 tsp of honey",0,1,2,0,0,0,0,0,0,0,"white fish (4 oz), 2 cups of brown rice, 1/2 cup of peppers",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9
"Peanut Butter-Banana Smoothie (3/4 cup of 1% milk, 2 tbsp of peanut butter, 1 banana)",,Yes,Yes,,,39,14,350,"Peanut Butter-Banana Smoothie (3/4 cup of 1% milk, 2 tbsp of peanut butter, 1 banana)",2,0,0,2,0,3,"Peanut Butter-Banana Smoothie (3/4 cup of 1% milk, 2 tbsp of peanut butter, 1 banana)",0,2,2,0,0,1,0,0,0,1,"tuna (4 oz), 2 cups of pasta, 1 cup of broccoli",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,15.6
"1 cup of plain Greek yogurt and 1 tsp of honey, 1 cup of berries",,Yes,Yes,,,36,20,358,"1 cup of plain Greek yogurt and 1 tsp of honey, 1 cup of berries",2,0,0,2,0,1,"1 cup of plain Greek yogurt and 1 tsp of honey, 1 cup of berries",0,1,2,0,0,0,0,0,0,0,"2 cups of tofu, 1 cup of white rice, 1 cup of eggplant",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0
2 cups of nonfat Greek yogurt with strawberries (2 cups),,Yes,Yes,,,40,48,364,2 cups of nonfat Greek yogurt with strawberries (2 cups),2,0,0,1,0,1,2 cups of nonfat Greek yogurt with strawberries (2 cups),0,1,2,0,0,0,0,0,0,0,"Salmon (4 oz), 2 cups of brown rice, 1 cup of cauliflower",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0
"Strawberry-Banana-Peanut Butter Smoothie (3/4 cup of 1% milk, 2 tbsp of peanut butter, 1/2 cup of strawberries, 1 banana)",,Yes,Yes,,,45,16,370,"Strawberry-Banana-Peanut Butter Smoothie (3/4 cup of 1% milk, 2 tbsp of peanut butter, 1/2 cup of strawberries, 1 banana)",2,0,0,2,0,3,"Strawberry-Banana-Peanut Butter Smoothie (3/4 cup of 1% milk, 2 tbsp of peanut butter, 1/2 cup of strawberries, 1 banana)",0,2,2,0,0,1,0,0,0,1,"2 cups of tofu, 1 cup of white rice, 1/2 cup of squash",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4
"Banana and Almond Butter Oatmeal (1 cup of almond milk, 1 cup of oatmeal, 1 banana, 1 tbsp of almond butter)",,Yes,Yes,,,66,8,375,"Banana and Almond Butter Oatmeal (1 cup of almond milk, 1 cup of oatmeal, 1 banana, 1 tbsp of almond butter)",2,0,0,2,0,2,"Banana and Almond Butter Oatmeal (1 cup of almond milk, 1 cup of oatmeal, 1 banana, 1 tbsp of almond butter)",0,2,2,0,0,0,2,0,0,1,"White Fish (8 oz), 1 cup of beans, asparagus (~10 stalks)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,16.7
"1 1/2 cups of plain Greek yogurt, 1/2 cup of regular trail mix",,Yes,Yes,,,44,26,380,"1 1/2 cups of plain Greek yogurt, 1/2 cup of regular trail mix",2,0,0,1,0,1,"1 1/2 cups of plain Greek yogurt, 1/2 cup of regular trail mix",0,1,2,0,0,1,1,0,0,0,"Salmon (4 oz), 2 cups of brown rice, 1 cup of eggplant",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.1
